slang,formal
"Aduh yhaa, elo ajib banget!","Astaga, saudara hebat sekali!!"
"Aduh dah, lu lebay banget!","Astaga, Anda berlebihan sekali!!"
Jangan ghosting dong loe,"Tolong jangan menghilang, kamu!"
"Aduh waduh, you gabut banget! dah","Astaga, kamu tidak produktif sekali!!"
"Aduh yhaa, kamu cepet banget!...","Astaga, saudara cepat sekali!."
"Aduh dah, lu gabut banget!","Astaga, saudara tidak produktif sekali!"
"Aduh anjir, kamu kepo banget!...","Astaga, saudara penasaran sekali!."
"Aduh yaelah, lu tajir banget! dah","Astaga, saudara kaya sekali!!"
loe japri banget dah...,kamu kirim pesan pribadi sekali!
"Aduh waduh, kamu santuy banget!!","Astaga, saudara santai sekali!."
"Mabar yuk kamu, gw modus nih dah","Bermain bersama yuk kamu, saya berpura-pura"
"Aduh njir, loe garing banget! dah","Astaga, Anda membosankan sekali!."
"Aduh waduh, elo gemoy banget!...","Astaga, Anda menggemaskan sekali!!"
"Aduh dah, loe tajir banget!!","Astaga, Anda kaya sekali!!"
"Aduh dah, you mager banget!!","Astaga, saudara malas gerak sekali!."
Jangan flexing dong lu!,"Tolong jangan pamer, saudara"
"Aduh deck, elo gercep banget! dah","Astaga, Anda cepat sekali!."
"Aduh wkwk, kamu gabut banget!","Astaga, kamu tidak produktif sekali!"
"Aduh haha, loe gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Aduh anjir, elo gabut banget! dah","Astaga, saudara tidak produktif sekali!!"
"Aduh yaelah, kamu galau banget!","Astaga, saudara sedih sekali!"
"Aduh haha, elo ambyar banget!!","Astaga, kamu hancur sekali!."
"Aduh dah, elo mager banget!","Astaga, kamu malas gerak sekali!!"
"Aduh anjir, elo bucin banget! dah","Astaga, Anda budak cinta sekali!!"
"Aduh deck, kamu gercep banget!...","Astaga, kamu cepat sekali!!"
"Aduh deck, elo mager banget!","Astaga, kamu malas gerak sekali!"
kamu tuh bucin banget sih dah,Anda benar-benar budak cinta.
"Mabar yuk ente, gw block nih!","Bermain bersama yuk saudara, saya blokir!"
ente tuh ngehe banget sih...,Anda benar-benar menjengkelkan
"Aduh waduh, loe garing banget!!","Astaga, kamu membosankan sekali!!"
"Aduh waduh, elo kepo banget!","Astaga, saudara penasaran sekali!."
"Aduh deck, lu cepet banget!","Astaga, Anda cepat sekali!"
"Aduh yaelah, kamu baper banget!...","Astaga, saudara terlalu sensitif sekali!."
"Aduh siap, loe cepet banget! dah","Astaga, saudara cepat sekali!."
"Mabar yuk kamu, gw jadian nih!","Bermain bersama yuk Anda, saya berhubungan!"
"Aduh waduh, ente jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
"Aduh yhaa, lu cepet banget!...","Astaga, saudara cepat sekali!!"
"Aduh siap, kamu bucin banget!...","Astaga, Anda budak cinta sekali!."
"Aduh yaelah, elo kepo banget!!","Astaga, saudara penasaran sekali!!"
"Aduh yhaa, kamu gemoy banget! dah","Astaga, saudara menggemaskan sekali!."
"Aduh deck, ente kepo banget!","Astaga, saudara penasaran sekali!."
"Aduh haha, loe ajib banget! dah","Astaga, Anda hebat sekali!!"
"Aduh yhaa, lu gabut banget!","Astaga, Anda tidak produktif sekali!!"
"Aduh haha, kamu galau banget!...","Astaga, saudara sedih sekali!"
"Aduh siap, you mager banget!...","Astaga, Anda malas gerak sekali!!"
"Aduh deck, ente kepo banget!...","Astaga, saudara penasaran sekali!!"
"Aduh siap, elo kepo banget! dah","Astaga, saudara penasaran sekali!!"
"Aduh siap, kamu galau banget!!","Astaga, Anda sedih sekali!."
"Aduh wkwk, loe gemoy banget! dah","Astaga, saudara menggemaskan sekali!!"
lu tuh ngehe banget sih dah,Anda benar-benar menjengkelkan
loe tuh mantul banget sih,saudara benar-benar mantap.
"Aduh haha, ente ajib banget!!","Astaga, Anda hebat sekali!!"
"Aduh yaelah, loe gemoy banget!!","Astaga, saudara menggemaskan sekali!."
"Aduh njir, ente kepo banget!...","Astaga, saudara penasaran sekali!!"
"Aduh yaelah, lu tajir banget!","Astaga, saudara kaya sekali!!"
"Mabar yuk loe, gw japri nih!","Bermain bersama yuk Anda, saya kirim pesan pribadi."
"Aduh siap, lu ngehe banget! dah","Astaga, Anda menjengkelkan sekali!!"
"Aduh waduh, loe ambyar banget!...","Astaga, Anda hancur sekali!"
"Aduh wkwk, ente ambyar banget!!","Astaga, saudara hancur sekali!."
"Aduh yhaa, you santuy banget!...","Astaga, kamu santai sekali!"
"Aduh anjir, loe baper banget!...","Astaga, kamu terlalu sensitif sekali!"
ente tuh cepet banget sih!,saudara benar-benar cepat.
"Aduh wkwk, loe cepet banget!!","Astaga, Anda cepat sekali!"
kamu tuh gemoy banget sih!,kamu benar-benar menggemaskan.
"Aduh wkwk, lu mantul banget!!","Astaga, saudara mantap sekali!"
kamu tuh gabut banget sih...,kamu benar-benar tidak produktif
"Aduh yhaa, lu gabut banget!","Astaga, Anda tidak produktif sekali!"
"Aduh yaelah, lu lebay banget! dah","Astaga, kamu berlebihan sekali!!"
kamu tuh lebay banget sih,saudara benar-benar berlebihan.
"Aduh anjir, kamu syulit banget!...","Astaga, saudara sulit sekali!."
"Aduh waduh, kamu jomblo banget!...","Astaga, Anda tidak punya pasangan sekali!."
"Aduh yhaa, loe mager banget!...","Astaga, Anda malas gerak sekali!."
"Aduh deck, elo ngehe banget!!","Astaga, Anda menjengkelkan sekali!"
"Aduh haha, ente mager banget! dah","Astaga, kamu malas gerak sekali!."
"Aduh waduh, loe alay banget!","Astaga, kamu norak sekali!!"
"Aduh dah, loe baper banget! dah","Astaga, saudara terlalu sensitif sekali!!"
you tuh galau banget sih dah,kamu benar-benar sedih
"Aduh yhaa, loe ambyar banget! dah","Astaga, Anda hancur sekali!."
"Aduh deck, kamu gemoy banget!","Astaga, Anda menggemaskan sekali!"
"Aduh anjir, you santuy banget!!","Astaga, Anda santai sekali!."
"Aduh siap, loe kepo banget!","Astaga, Anda penasaran sekali!."
"Aduh deck, elo bucin banget!...","Astaga, Anda budak cinta sekali!"
"Aduh siap, lu santuy banget!...","Astaga, Anda santai sekali!"
"Mabar yuk elo, gw sokin nih dah","Bermain bersama yuk Anda, saya fokus!"
"Aduh njir, ente gemoy banget!...","Astaga, Anda menggemaskan sekali!"
"Aduh yhaa, ente santuy banget! dah","Astaga, saudara santai sekali!"
"Aduh deck, kamu galau banget!...","Astaga, saudara sedih sekali!."
"Mabar yuk ente, gw unfriend nih...","Bermain bersama yuk kamu, saya hapus pertemanan."
"Aduh anjir, you tajir banget!!","Astaga, Anda kaya sekali!!"
"Aduh dah, kamu jomblo banget!!","Astaga, kamu tidak punya pasangan sekali!"
"Aduh yaelah, kamu mantul banget!...","Astaga, Anda mantap sekali!"
"Aduh yhaa, lu ambyar banget! dah","Astaga, kamu hancur sekali!."
ente unfriend banget dah!,saudara hapus pertemanan sekali!
"Aduh siap, kamu jomblo banget! dah","Astaga, saudara tidak punya pasangan sekali!"
"Aduh anjir, you syulit banget! dah","Astaga, Anda sulit sekali!."
"Aduh siap, kamu gercep banget!...","Astaga, saudara cepat sekali!."
"Aduh haha, kamu gercep banget!...","Astaga, kamu cepat sekali!!"
"Aduh yhaa, ente ajib banget!","Astaga, Anda hebat sekali!."
"Aduh yaelah, elo garing banget!!","Astaga, saudara membosankan sekali!"
"Aduh haha, lu alay banget!...","Astaga, Anda norak sekali!."
"Aduh siap, you gercep banget!","Astaga, saudara cepat sekali!."
"Aduh wkwk, lu mager banget!...","Astaga, saudara malas gerak sekali!."
"Aduh deck, loe baper banget!...","Astaga, kamu terlalu sensitif sekali!!"
"Aduh yaelah, loe jomblo banget!...","Astaga, Anda tidak punya pasangan sekali!."
lu tuh tajir banget sih dah,Anda benar-benar kaya
Jangan mabar dong you!,"Tolong jangan main bersama, kamu!"
"Aduh njir, kamu tajir banget!!","Astaga, Anda kaya sekali!."
"Aduh anjir, loe santuy banget!...","Astaga, Anda santai sekali!!"
"Aduh anjir, loe galau banget! dah","Astaga, Anda sedih sekali!!"
elo tuh cepet banget sih,kamu benar-benar cepat.
"Aduh yhaa, kamu gabut banget!...","Astaga, Anda tidak produktif sekali!."
"Aduh yhaa, you mager banget!!","Astaga, saudara malas gerak sekali!"
kamu tuh bucin banget sih...,Anda benar-benar budak cinta.
"Aduh yhaa, kamu baper banget! dah","Astaga, saudara terlalu sensitif sekali!"
"Aduh yhaa, kamu ajib banget!!","Astaga, Anda hebat sekali!."
elo tuh santuy banget sih...,saudara benar-benar santai.
"Aduh haha, ente mantul banget!...","Astaga, saudara mantap sekali!!"
"Aduh wkwk, ente gercep banget! dah","Astaga, Anda cepat sekali!."
"Aduh anjir, kamu ambyar banget!...","Astaga, saudara hancur sekali!!"
"Aduh waduh, ente gemoy banget! dah","Astaga, kamu menggemaskan sekali!."
"Aduh haha, you ajib banget!!","Astaga, saudara hebat sekali!"
"Aduh anjir, you mantul banget!!","Astaga, Anda mantap sekali!!"
"Aduh anjir, elo alay banget!","Astaga, kamu norak sekali!"
"Aduh dah, ente gemoy banget! dah","Astaga, kamu menggemaskan sekali!"
"Aduh haha, elo tajir banget!","Astaga, Anda kaya sekali!."
"Aduh siap, lu santuy banget!","Astaga, Anda santai sekali!"
"Aduh waduh, kamu santuy banget!","Astaga, saudara santai sekali!"
Jangan ribut dong elo!,"Tolong jangan berdebat, kamu"
"Aduh siap, elo alay banget! dah","Astaga, Anda norak sekali!."
"Aduh siap, lu jomblo banget!!","Astaga, kamu tidak punya pasangan sekali!!"
"Aduh njir, elo santuy banget! dah","Astaga, kamu santai sekali!!"
"Aduh deck, lu kepo banget!!","Astaga, saudara penasaran sekali!!"
"Aduh wkwk, ente lebay banget!","Astaga, Anda berlebihan sekali!"
Jangan ghosting dong you...,"Tolong jangan menghilang, kamu."
"Aduh siap, you ngehe banget! dah","Astaga, Anda menjengkelkan sekali!!"
"Aduh deck, elo gemoy banget! dah","Astaga, Anda menggemaskan sekali!"
"Aduh yhaa, loe gabut banget!!","Astaga, saudara tidak produktif sekali!!"
"Aduh deck, elo mager banget! dah","Astaga, kamu malas gerak sekali!!"
"Aduh waduh, loe ambyar banget! dah","Astaga, Anda hancur sekali!!"
"Aduh siap, loe baper banget!...","Astaga, saudara terlalu sensitif sekali!."
elo selow banget dah!,kamu santai sekali
"Aduh yaelah, ente garing banget!...","Astaga, Anda membosankan sekali!."
"Aduh njir, ente kepo banget!...","Astaga, saudara penasaran sekali!"
"Aduh waduh, elo galau banget!","Astaga, kamu sedih sekali!"
"Aduh njir, elo lebay banget!!","Astaga, saudara berlebihan sekali!."
"Aduh anjir, you jomblo banget! dah","Astaga, kamu tidak punya pasangan sekali!!"
"Aduh siap, ente alay banget! dah","Astaga, kamu norak sekali!."
"Aduh yhaa, elo galau banget!","Astaga, saudara sedih sekali!."
"Aduh wkwk, loe mantul banget!!","Astaga, saudara mantap sekali!"
"Aduh deck, ente cepet banget!...","Astaga, kamu cepat sekali!"
Jangan block dong loe dah,"Tolong jangan blokir, Anda."
kamu tuh gabut banget sih!,kamu benar-benar tidak produktif!
"Aduh wkwk, loe cepet banget! dah","Astaga, Anda cepat sekali!."
"Aduh yaelah, you ngehe banget!...","Astaga, saudara menjengkelkan sekali!"
"Aduh haha, elo garing banget!!","Astaga, Anda membosankan sekali!!"
ente ghosting banget dah...,saudara menghilang sekali.
"Aduh waduh, kamu syulit banget!...","Astaga, Anda sulit sekali!."
"Aduh yaelah, lu galau banget!","Astaga, kamu sedih sekali!"
"Aduh haha, loe gabut banget!...","Astaga, Anda tidak produktif sekali!"
"Aduh wkwk, ente tajir banget! dah","Astaga, saudara kaya sekali!!"
loe troll banget dah...,saudara mengganggu sekali!
"Mabar yuk kamu, gw unfriend nih dah","Bermain bersama yuk Anda, saya hapus pertemanan"
"Aduh dah, ente mager banget!","Astaga, Anda malas gerak sekali!"
"Aduh yhaa, ente ambyar banget!","Astaga, Anda hancur sekali!"
"Aduh wkwk, you galau banget!...","Astaga, Anda sedih sekali!."
"Aduh anjir, you mantul banget! dah","Astaga, Anda mantap sekali!!"
"Aduh haha, elo santuy banget!!","Astaga, kamu santai sekali!"
"Aduh wkwk, ente ajib banget!","Astaga, Anda hebat sekali!."
"Aduh wkwk, you mager banget!...","Astaga, kamu malas gerak sekali!."
"Aduh haha, you gemoy banget! dah","Astaga, saudara menggemaskan sekali!."
ente tuh baper banget sih,Anda benar-benar terlalu sensitif.
"Aduh anjir, ente ajib banget!!","Astaga, Anda hebat sekali!"
kamu tuh syulit banget sih dah,saudara benar-benar sulit
"Aduh yaelah, kamu gabut banget! dah","Astaga, kamu tidak produktif sekali!"
"Aduh anjir, ente jomblo banget!...","Astaga, Anda tidak punya pasangan sekali!."
Jangan sokin dong kamu,"Tolong jangan fokus, kamu!"
"Aduh yaelah, lu cepet banget! dah","Astaga, kamu cepat sekali!."
"Aduh yhaa, ente cepet banget!","Astaga, kamu cepat sekali!"
"Aduh siap, you galau banget!","Astaga, Anda sedih sekali!!"
Jangan mabar dong lu!,"Tolong jangan main bersama, Anda."
"Aduh haha, loe gemoy banget!...","Astaga, kamu menggemaskan sekali!."
"Aduh deck, lu santuy banget!","Astaga, Anda santai sekali!!"
"Aduh yhaa, lu cepet banget!","Astaga, saudara cepat sekali!."
elo tuh gemoy banget sih...,kamu benar-benar menggemaskan
you tuh syulit banget sih,Anda benar-benar sulit!
"Aduh anjir, you gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Mabar yuk loe, gw selow nih dah","Bermain bersama yuk saudara, saya santai."
lu tuh alay banget sih!,kamu benar-benar norak.
"Aduh yhaa, you ajib banget!","Astaga, saudara hebat sekali!."
you jadian banget dah,saudara berhubungan sekali
"Aduh wkwk, kamu mantul banget! dah","Astaga, kamu mantap sekali!!"
"Aduh njir, loe kepo banget!!","Astaga, Anda penasaran sekali!."
"Aduh waduh, kamu lebay banget!!","Astaga, saudara berlebihan sekali!"
elo tuh ajib banget sih,Anda benar-benar hebat!
kamu tuh alay banget sih...,saudara benar-benar norak!
"Aduh yhaa, you gabut banget!","Astaga, kamu tidak produktif sekali!."
you tuh gemoy banget sih!,saudara benar-benar menggemaskan!
"Aduh njir, lu gemoy banget!","Astaga, saudara menggemaskan sekali!"
"Aduh siap, loe garing banget!!","Astaga, Anda membosankan sekali!."
"Aduh siap, elo bucin banget!...","Astaga, kamu budak cinta sekali!."
"Aduh deck, you ngehe banget!!","Astaga, saudara menjengkelkan sekali!"
"Aduh deck, kamu gemoy banget! dah","Astaga, Anda menggemaskan sekali!."
"Aduh njir, ente lebay banget!!","Astaga, Anda berlebihan sekali!."
Jangan japri dong ente dah,"Tolong jangan kirim pesan pribadi, kamu!"
"Aduh anjir, lu garing banget!...","Astaga, Anda membosankan sekali!!"
"Aduh wkwk, kamu garing banget! dah","Astaga, kamu membosankan sekali!"
"Mabar yuk lu, gw flexing nih!","Bermain bersama yuk kamu, saya pamer!"
ente tuh gercep banget sih...,saudara benar-benar cepat!
"Aduh deck, kamu santuy banget!...","Astaga, saudara santai sekali!!"
"Aduh wkwk, ente ambyar banget!!","Astaga, saudara hancur sekali!"
ente tuh garing banget sih!,kamu benar-benar membosankan.
"Aduh njir, ente cepet banget!...","Astaga, saudara cepat sekali!!"
"Aduh waduh, kamu mager banget! dah","Astaga, kamu malas gerak sekali!"
"Aduh deck, elo alay banget! dah","Astaga, saudara norak sekali!!"
"Aduh dah, lu mantul banget!","Astaga, kamu mantap sekali!!"
"Aduh anjir, ente santuy banget!!","Astaga, Anda santai sekali!."
"Aduh yaelah, kamu mantul banget!","Astaga, Anda mantap sekali!!"
"Aduh yaelah, you gabut banget! dah","Astaga, Anda tidak produktif sekali!"
"Aduh dah, elo gercep banget! dah","Astaga, kamu cepat sekali!!"
"Aduh njir, elo ambyar banget!...","Astaga, kamu hancur sekali!."
"Aduh wkwk, you gercep banget!...","Astaga, saudara cepat sekali!"
loe tuh ambyar banget sih,Anda benar-benar hancur
"Aduh anjir, elo cepet banget!!","Astaga, saudara cepat sekali!"
"Aduh wkwk, you cepet banget!","Astaga, kamu cepat sekali!."
"Aduh dah, lu galau banget!","Astaga, Anda sedih sekali!"
"Aduh haha, kamu syulit banget! dah","Astaga, kamu sulit sekali!!"
"Aduh deck, loe galau banget!...","Astaga, saudara sedih sekali!"
Jangan flexing dong ente!,"Tolong jangan pamer, Anda!"
"Aduh yaelah, you bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh dah, loe ajib banget! dah","Astaga, kamu hebat sekali!"
lu tuh lebay banget sih,kamu benar-benar berlebihan.
"Aduh njir, elo bucin banget! dah","Astaga, Anda budak cinta sekali!."
"Aduh njir, elo jomblo banget!","Astaga, kamu tidak punya pasangan sekali!!"
ente tuh galau banget sih,saudara benar-benar sedih!
Jangan unfriend dong elo...,"Tolong jangan hapus pertemanan, kamu"
"Aduh deck, you bucin banget!","Astaga, Anda budak cinta sekali!"
"Aduh njir, you gabut banget!!","Astaga, kamu tidak produktif sekali!!"
"Aduh anjir, ente alay banget!!","Astaga, kamu norak sekali!"
"Aduh wkwk, loe lebay banget!!","Astaga, Anda berlebihan sekali!!"
Jangan nyok dong you!,"Tolong jangan ayo, Anda!"
"Aduh deck, loe gercep banget! dah","Astaga, saudara cepat sekali!!"
"Aduh siap, loe gemoy banget!...","Astaga, kamu menggemaskan sekali!!"
"Aduh wkwk, loe gemoy banget! dah","Astaga, saudara menggemaskan sekali!"
"Aduh dah, ente gemoy banget!!","Astaga, kamu menggemaskan sekali!!"
"Aduh siap, ente galau banget!...","Astaga, kamu sedih sekali!!"
"Aduh wkwk, kamu kepo banget! dah","Astaga, saudara penasaran sekali!."
ente troll banget dah...,kamu mengganggu sekali.
"Aduh njir, ente kepo banget! dah","Astaga, saudara penasaran sekali!!"
"Aduh deck, kamu gabut banget!!","Astaga, saudara tidak produktif sekali!!"
"Mabar yuk kamu, gw gaskeun nih!","Bermain bersama yuk saudara, saya bersungguh-sungguh."
"Aduh haha, you cepet banget!...","Astaga, saudara cepat sekali!."
"Aduh haha, lu cepet banget! dah","Astaga, saudara cepat sekali!."
Jangan sokin dong ente,"Tolong jangan fokus, Anda."
ente jadian banget dah,Anda berhubungan sekali!
"Aduh anjir, you kepo banget!...","Astaga, Anda penasaran sekali!"
"Aduh njir, you tajir banget!!","Astaga, kamu kaya sekali!"
"Aduh njir, you gercep banget!","Astaga, saudara cepat sekali!!"
Jangan troll dong lu!,"Tolong jangan mengganggu, Anda"
"Aduh dah, lu jomblo banget! dah","Astaga, Anda tidak punya pasangan sekali!."
"Aduh deck, ente ajib banget!!","Astaga, saudara hebat sekali!."
"Aduh waduh, kamu mager banget!!","Astaga, kamu malas gerak sekali!"
"Aduh haha, loe mantul banget!...","Astaga, Anda mantap sekali!"
"Aduh deck, you garing banget! dah","Astaga, saudara membosankan sekali!!"
"Aduh deck, lu alay banget!","Astaga, kamu norak sekali!!"
kamu nyok banget dah dah,kamu ayo sekali
"Aduh siap, loe garing banget!","Astaga, Anda membosankan sekali!!"
"Aduh wkwk, ente mantul banget!...","Astaga, kamu mantap sekali!"
"Aduh deck, ente ngehe banget! dah","Astaga, Anda menjengkelkan sekali!"
"Aduh njir, ente ajib banget!...","Astaga, saudara hebat sekali!."
"Aduh waduh, lu ambyar banget! dah","Astaga, Anda hancur sekali!"
"Aduh waduh, ente gabut banget!","Astaga, Anda tidak produktif sekali!!"
ente tuh gabut banget sih dah,Anda benar-benar tidak produktif
"Aduh anjir, you lebay banget!","Astaga, saudara berlebihan sekali!."
Jangan nyok dong ente!,"Tolong jangan ayo, kamu."
"Aduh wkwk, kamu baper banget!!","Astaga, kamu terlalu sensitif sekali!"
"Aduh haha, lu ambyar banget! dah","Astaga, Anda hancur sekali!."
ente modus banget dah,saudara berpura-pura sekali
"Aduh yaelah, kamu mager banget!...","Astaga, kamu malas gerak sekali!."
loe tuh galau banget sih!,Anda benar-benar sedih.
"Aduh waduh, you ngehe banget! dah","Astaga, saudara menjengkelkan sekali!!"
